"","MSigDBpathways5.stat","MSigDBpathways5.pval","MSigDBpathways5.p.adj","MSigDBpathways5.num.genes","MSigDBpathways5.gene.vals"
"HALLMARK_ADIPOGENESIS",-0.0122158348575908,0.579049861356245,0.922711990909831,180,"PTGER3:87, ATP1B3:88, CHUK:102, GPD2:133, MCCC1:142, SLC19A1:173, APLP2:197, PREB:284, VEGFB:348, LIFR:451, PGM1:701, G3BP2:742, SCP2:913, YWHAG:949, DRAM2:964, NDUFA5:1009, ANGPT1:1077, ACLY:1190, COQ3:1250, BAZ2A:1681, ELMOD3:1789, PPP1R15B:1862, LTC4S:2178, AK2:2192, ACADM:2259, IDH3A:2433, GPAM:2622, SCARB1:2666, ESYT1:2673, SLC5A6:2737, FZD4:2750, IFNGR1:2821, TANK:2994, SOD1:3005, ACO2:3117, SUCLG1:3138, CD36:3155, PHYH:3258, SAMM50:3396, LAMA4:3441, ACADL:3442, CS:3456, PFKFB3:3506, UQCRC1:3718, PHLDB1:3757, REEP5:4002, GADD45A:4021, IMMT:4043, ELOVL6:4202, EPHX2:4229, FABP4:4250, UBC:4360, RIOK3:4366, PEX14:4404, CRAT:4405, TOB1:4626, SDHC:4715, SSPN:4762, UQCRQ:4883, SNCG:4886, SLC27A1:4951, MRAP:5180, MRPL15:5214, DNAJC15:5224, SORBS1:5276, RNF11:5297, UBQLN1:5329, DLAT:5391, DGAT1:5528, CDKN2C:5686, PPM1B:5801, PTCD3:5804, PEMT:5846, ESRRA:5926, MAP4K3:5993, UCK1:6059, GRPEL1:6321, NDUFS3:6330, PIM3:6412, TKT:6548, C3:6793, DECR1:7052, COX6A1:7101, ITGA7:7216, NABP1:7220, GHITM:7246, RMDN3:7291, RETN:7480, AIFM1:7673, ADCY6:7761, COQ5:7764, ABCA1:7804, ITIH5:8007, CYC1:8021, QDPR:8026, DBT:8119, NDUFAB1:8151, ALDH2:8380, ANGPTL4:8421, DNAJB9:8519, ACADS:8703, ABCB8:8989, PFKL:9155, MYLK:9167, SPARCL1:9204, ECH1:9249, ORM1:9310, OMD:9443, GPAT4:9512, CYP4B1:9539, ME1:9573, DLD:9673, MGLL:9765, RTN3:9851, MGST3:9902, SLC1A5:10035, RAB34:10046, ADIPOQ:10090, CMBL:10126, FAH:10241, BCL6:10310, COX7B:10334, RREB1:10361, ACOX1:10593, TST:10688, ATL2:10891, ETFB:10926, MIGA2:11346, NKIRAS1:11409, UQCR10:11526, CCNG2:11682, NDUFB7:11784, CD151:11882, PLIN2:11930, SOWAHC:12117, HADH:12124, PPARG:12389, ARL4A:12447, SULT1A1:12513, BCL2L13:12621, PRDX3:12765, IDH1:12960, LPCAT3:12979, IDH3G:13051, GPHN:13147, JAGN1:13161, REEP6:13367, SDHB:13474, DHRS7:13519, GBE1:13778, UCP2:13797, COL4A1:13879, NMT1:13941, LIPE:14194, SLC25A1:14197, ADIPOR2:14447, ECHS1:14638, STOM:14672, AGPAT3:14675, POR:14793, PDCD4:14836, HSPB8:14871, CPT2:14906, MDH2:14934, STAT5A:14981, DHCR7:15029, CIDEA:15128, COL15A1:15149, CAT:15253, CMPK1:15292, LEP:15328, COQ9:15358, ARAF:15368, ENPP2:15411, RETSAT:15722, DHRS7B:15974, ITSN1:16011, TALDO1:16016, DDT:16041, ACAA2:16058"
"HALLMARK_ALLOGRAFT_REJECTION",-0.00654499181319856,0.768705675512041,0.922711990909831,176,"CCND3:77, TAPBP:154, IL11:178, CCR1:193, CD40:227, BRCA1:323, CD4:331, CD3G:395, CD47:464, SIT1:545, FAS:782, NCK1:798, IRF7:1084, GBP2:1106, ACHE:1124, EREG:1135, CTSS:1354, INHBA:1618, CD247:1718, EIF4G3:1734, PSMB10:1761, ABCE1:2005, HLA-DOA:2252, TRAT1:2269, RIPK2:2369, SOCS1:2408, CD2:2519, IL2RA:2542, F2R:2581, AKT1:2609, IL2RB:2679, CCL22:2762, IFNGR1:2821, ST8SIA4:2859, CSK:2872, IL9:3038, FGR:3113, MAP3K7:3170, TLR6:3210, ELF4:3318, IL15:3429, TLR1:3443, PTPRC:3523, CXCR3:3785, CXCL9:3954, F2:4179, THY1:4326, CD74:4391, TLR2:4721, EIF3A:4811, IFNG:4999, ACVR2A:5195, CDKN2A:5275, IFNGR2:5321, CD3D:5339, LIF:5454, IL2:5475, LCK:5478, UBE2D1:5538, IL1B:5541, STAB1:5590, RPS3A:5621, CD3E:5655, CD86:5671, ITGB2:5736, NLRP3:5924, CFP:6009, STAT1:6294, IL18RAP:6357, ICAM1:6360, IL16:6418, NCR1:6491, KLRD1:6540, RPS9:6546, CD79A:6605, IL4:6761, CSF1:6770, LCP2:6841, IL12B:6985, FCGR2B:7362, BCAT1:7383, LTB:7474, IL10:7530, BCL10:7571, CCL11:7691, EIF5A:7875, NCF4:7923, CARTPT:7927, HLA-DMB:8087, GZMB:8234, CCR5:8290, RPL9:8434, WAS:8471, CD1D:8566, B2M:8776, GZMA:8824, CD80:8949, TIMP1:8958, SPI1:8977, CD96:9177, IL2RG:9247, CCND2:9248, STAT4:9287, HLA-DRA:9334, PTPN6:9344, EIF3D:9366, FASLG:9403, FLNA:9577, IL6:9656, SOCS5:9739, SRGN:9852, PRKCB:9992, JAK2:10301, HIF1A:10312, IL12A:10341, CCL13:10359, ZAP70:10413, INHBB:10424, CXCL13:10516, HDAC9:10634, KRT1:10651, CD28:10689, CD8A:10890, BCL3:11005, RPL3L:11139, TGFB2:11182, IL18:11307, PRF1:11548, DEGS1:11940, TRAF2:12027, MTIF2:12081, UBE2N:12163, CD7:12281, CD8B:12575, GCNT1:12615, HCLS1:12620, IKBKB:12732, IL4R:12822, CAPG:12865, NPM1:12880, IFNAR2:12924, HLA-DMA:13017, MMP9:13037, TLR3:13064, GALNT1:13085, MBL2:13086, LY86:13164, DYRK3:13193, TGFB1:13202, CCL2:13303, ITGAL:13355, EIF3J:13415, CD40LG:13603, TNF:13639, MRPL3:13657, HLA-DQA1:13823, PRKCG:13915, NOS2:14014, ABI1:14583, IRF4:14755, APBB1:14812, CCL19:14937, EGFR:14938, IL13:15114, ITK:15194, TAP1:15233, IRF8:15505, HLA-E:15536, PF4:15625, GLMN:15685, IGSF6:15692, IL27RA:15734, CCR2:15765, MAP4K1:15992, LYN:16013, IL12RB1:16087"
"HALLMARK_ANDROGEN_RESPONSE",0.002618117482871,0.931124082407639,0.969920919174624,93,"GPD1L:63, AZGP1:139, PMEPA1:161, SLC26A2:247, ADRM1:320, HERC3:768, MERTK:965, VAPA:968, ARID5B:1000, BMPR1B:1147, B4GALT1:1170, KLK3:1286, APPBP2:1907, SGK1:2089, IQGAP2:2179, CAMKK2:2409, ALDH1A3:2778, ACTN1:3035, SEC24D:3255, MAP7:3346, DBI:3555, LMAN1:3712, STK39:3953, GSR:4003, SORD:4272, TMPRSS2:4472, HMGCR:5103, SCD:5149, SMS:5209, RPS6KA3:5255, ZMIZ1:5348, ELK4:5477, SPCS3:5529, STEAP4:5627, ANKH:5867, XRCC6:5947, PTPN21:6908, NKX3-1:6948, SRF:6989, PGM3:6996, ELOVL5:7146, B2M:7334, TNFAIP8:7349, DNAJB9:7591, UBE2I:7673, RAB4A:8049, MAK:8057, AKAP12:8314, ZBTB10:8768, KRT8:8820, SPDEF:9138, IDI1:9174, HSD17B14:9197, CCND1:9462, ACSL3:9660, RRP12:10037, ADAMTS1:10045, INSIG1:10047, ABCC4:10114, HOMER2:10163, NDRG1:10233, GNAI3:10468, NGLY1:10567, MAF:10596, PDLIM5:11043, SAT1:11044, UAP1:11092, SLC38A2:11269, FKBP5:11292, ELL2:11372, HMGCS1:11642, ABHD2:11746, XRCC5:11858, KRT19:11974, DHCR24:12235, CDC14B:12253, NCOA4:12513, UBE2J1:12772, AKT1:13501, PIAS1:13697, MYL12A:13961, PTK2B:14073, TMEM50A:14217, HPGD:14589, FADS1:15193, PLPP1:15221, INPP4B:15260, SRP19:15356, ITGAV:15362, CENPN:15564, LIFR:15659, CDK6:15868, CCND3:16033"
"HALLMARK_ANGIOGENESIS",-0.0454610847360092,0.353676651379459,0.891075226656214,35,"LUM:709, ITGAV:748, S100A4:787, PRG2:1154, COL5A2:1827, APOH:1961, STC1:2004, JAG1:2231, CXCL6:3024, FSTL1:4018, APP:4310, PTK2:4383, SLCO2A1:4778, VEGFA:4788, PGLYRP1:5186, MSX1:6032, KCNJ8:6495, LRPAP1:7658, SPP1:7722, NRP1:7847, COL3A1:7939, OLR1:8393, TIMP1:8958, CCND2:9248, VAV2:9348, SERPINA5:11910, PDGFA:12280, TNFRSF21:12806, FGFR1:12871, JAG2:13484, VTN:13503, THBD:14061, VCAN:14525, POSTN:15457, PF4:15625"
"HALLMARK_APICAL_JUNCTION",-0.00926916369997716,0.667373773498974,0.922711990909831,188,"MPZL2:15, EXOC4:33, SORBS3:97, ITGA3:231, SLIT2:411, ADAM15:446, CLDN18:507, MYH10:537, CERCAM:540, NRTN:554, AMIGO1:662, CX3CL1:688, THBS3:959, IKBKG:1248, INPPL1:1269, BAIAP2:1291, ACTG2:1294, TGFBI:1492, ITGA10:1534, MAPK14:1601, WNK4:2013, CADM3:2025, LIMA1:2069, NECTIN3:2130, VCAM1:2195, CLDN8:2256, CD276:2326, JUP:2390, VASP:2400, KRT31:2575, NECTIN4:2588, SYMPK:2627, PFN1:2780, CLDN11:2867, NFASC:2993, AKT3:3114, MPZL1:3267, TUBG1:3399, MVD:3439, CDH6:3491, CDH4:3507, PECAM1:3513, SKAP2:3515, PTPRC:3523, COL17A1:3544, DLG1:3743, TJP1:3906, EVL:3967, RHOF:4144, TRAF1:4166, ICAM2:4240, THY1:4326, PTK2:4383, CRAT:4405, PBX2:4492, NEXN:4679, ITGA2:4684, TIAL1:5016, DHX16:5030, ICAM5:5108, MAPK13:5246, ICAM4:5254, CLDN5:5256, KCNH2:5270, YWHAH:5395, NECTIN2:5420, ADAM9:5458, LAYN:5491, MSN:5492, ARHGEF6:5495, TNFRSF11B:5517, CD86:5671, SPEG:5883, SIRPA:5884, GTF2F1:5891, ADRA1B:6016, INSIG1:6063, ICAM1:6360, CLDN4:6435, CLDN15:6629, ACTG1:7284, CDH11:7408, ARPC2:7419, ITGA9:7686, CRB3:7815, LDLRAP1:7904, MMP2:8104, RASA1:8169, SDC3:8250, ACTN3:8264, GNAI2:8273, ACTN4:8295, SHROOM2:8305, CLDN6:8411, BMP1:8549, CLDN9:8576, NECTIN1:8607, GNAI1:8669, MAPK11:8701, CDH1:8737, WASL:8815, ADAMTS5:8856, NLGN3:8863, LAMB3:8929, RSU1:8948, COL9A1:8969, CDSN:8979, CDH8:9000, ACTB:9171, CLDN7:9265, RRAS:9336, VAV2:9348, TSPAN4:9390, TMEM8B:9547, ADAM23:9825, SHC1:9888, TSC1:9931, NRAP:9939, GRB7:10024, PIK3CB:10081, CALB2:10150, TAOK2:10206, LAMC2:10213, CADM2:10268, TRO:10443, PLCG1:10481, AKT2:10522, CNN2:10561, HRAS:10609, CDH15:10667, CLDN14:10730, MYL9:10802, CNTN1:10841, MYL12B:11186, STX4:11304, VWF:11313, ALOX15B:11359, SYK:11444, AMIGO2:11473, MAP4K2:11523, NLGN2:11618, SLC30A3:11785, ITGB1:11938, CD34:12002, HADH:12124, PARVA:12131, MADCAM1:12249, ACTC1:12263, SRC:12423, MYH9:12591, CAP1:12701, PARD6G:12844, CDH3:12889, AMH:12927, FBN1:12997, JAM3:13026, MMP9:13037, ACTN1:13075, CLDN19:13109, IRS1:13120, CD274:13126, VCL:13145, DSC1:13200, CD209:13374, RAC2:13523, ITGB4:13555, PTEN:13692, FSCN1:13924, NF2:13952, NF1:14339, VCAN:14525, PPP2R2C:14704, CDK8:14728, EPB41L2:14762, EGFR:14938, B4GALT1:14940, LAMA3:14982, FLNC:14985, NRXN2:14987, PCDH1:15341, ACTN2:15375, DMP1:15446, ATP1A3:15825, ZYX:15854, SGCE:15879, GAMT:15935, DSC3:16027, COL16A1:16042"
"HALLMARK_APICAL_SURFACE",0.00220981204587767,0.960645699242369,0.980250713512622,42,"ATP8B1:75, LYN:97, FLOT2:1099, B4GALT1:1170, SLC22A12:1356, ADIPOR2:1663, SLC2A4:1841, MAL:2574, RTN4RL1:2768, LYPD3:3991, MDGA1:4016, NCOA6:4640, GATA3:4872, ATP6V0A4:5589, SLC34A3:5591, EPHB4:6238, PLAUR:6443, AKAP7:6504, TMEM8B:6563, PCSK9:6753, IL2RG:6863, DCBLD2:7026, CD160:7740, SHROOM2:7805, HSPB1:8926, EFNA5:9775, GSTM3:10353, GAS1:10925, SCUBE1:11579, THY1:11784, APP:11800, AFAP1L2:12520, ADAM10:12794, PKHD1:13376, IL2RB:13431, GHRL:13623, SULF2:14271, SRPX:14560, RHCG:15208, CX3CL1:15422, BRCA1:15787, NTNG1:16002"
"HALLMARK_APOPTOSIS",-0.022880758521025,0.345638908413882,0.891075226656214,147,"DAP:79, CTH:223, BRCA1:323, JUN:385, PLPPR4:457, IGFBP6:461, PDGFRB:518, LGALS3:522, LUM:709, CYLD:732, FAS:782, ISG20:967, EREG:1135, MGMT:1157, CASP1:1585, BCL2L10:1617, ADD1:1649, RARA:1767, DNAJC3:1772, BGN:1890, SC5D:1998, PPT1:2078, PEA15:2164, TOP2A:2478, CD2:2519, F2R:2581, XIAP:2820, IFNGR1:2821, SLC20A1:2931, BMP2:2971, SOD1:3005, PAK1:3065, ERBB2:3078, EBP:3097, CTNNB1:3416, GNA15:3466, DPYD:3740, SATB1:3829, DCN:3878, CD69:3898, PLCB2:3920, GADD45A:4021, HGF:4159, F2:4179, TSPO:4281, FDXR:4298, APP:4310, PTK2:4383, ERBB3:4386, BCL2L11:4443, CREBBP:4537, MADD:4599, CDKN1B:4609, GSN:4757, RHOT2:4848, SAT1:5066, LMNA:5319, IL1B:5541, WEE1:5678, BIRC3:5755, BNIP3L:5780, CD38:5802, TIMP2:5888, DDIT3:6600, CCND1:6648, PMAIP1:6689, FEZ1:7135, HSPB1:7184, TNFSF10:7225, HMGB2:7267, BMF:7310, PPP2R5B:7425, CFLAR:7446, IRF1:7479, CAV1:7510, BCL10:7571, ANXA1:8035, MMP2:8104, SOD2:8233, HMOX1:8358, AVPR1A:8450, GADD45B:8604, BCL2L1:8951, TIMP1:8958, CCND2:9248, CDC25B:9387, FASLG:9403, PSEN1:9496, NEDD9:9506, BTG3:9533, SMAD7:9550, AIFM3:9559, IL6:9656, BID:9848, DFFA:10152, CASP4:10203, ANKH:10243, BCAP31:10279, LEF1:10307, ETF1:10585, RELA:10691, TGFBR3:10806, DNM1L:11060, TGFB2:11182, SQSTM1:11231, IL18:11307, PRF1:11548, NEFH:11786, CCNA1:11813, CDK2:11859, ROCK1:11902, EGR3:11923, IL1A:12089, GSR:12107, MCL1:12197, BIK:12214, PSEN2:12319, DIABLO:12367, KRT18:12637, BTG2:12831, CLU:13198, RNASEL:13215, BAX:13427, CASP3:13521, CASP9:13593, TNF:13639, CASP2:13691, GUCY2D:13878, IFITM3:13904, TNFRSF12A:13925, ENO2:13984, IER3:13986, CASP7:14310, ATF3:14611, PDCD4:14836, DAP3:14918, IFNB1:15186, TAP1:15233, CASP8:15374, IGF2R:15392, CDKN1A:15586, PLAT:15590, CD44:15648, GCH1:15654, TIMP3:15715, RETSAT:15722, DNAJA1:16061"
"HALLMARK_BILE_ACID_METABOLISM",0.0645578579971199,0.0237548733891456,0.296935917364321,105,"CYP46A1:46, GCLM:166, SLC27A2:271, ABCG8:329, RETSAT:388, RXRG:549, HSD3B1:618, ABCA4:659, CAT:857, SLC23A1:1351, PEX11A:1482, KLF1:1597, EFHC1:1735, LIPE:1916, TTR:1920, ABCA5:2133, HSD17B4:2173, FADS2:2239, GNPAT:2341, RXRA:2644, SULT1B1:2724, ALDH8A1:2746, NR0B2:3044, IDH1:3150, BBOX1:3199, CYP7B1:3404, GC:3445, PEX11G:3526, PEX16:3546, PNPLA8:3958, GSTK1:3980, PEX1:4006, SULT2B1:4788, CH25H:4807, NUDT12:4858, PEX13:4878, BCAR3:4976, AQP9:5044, ACSL1:5059, MLYCD:5199, CYP27A1:5500, ABCA2:5605, PECR:5727, SLCO1A2:6122, CROT:6254, AMACR:6321, PFKM:6561, PEX6:6828, SERPINA6:6849, LONP2:6902, ABCD1:6940, RBP1:6983, HACL1:7107, ABCA3:7212, GNMT:7230, ATXN1:7399, NPC1:7515, ABCA9:7735, NEDD4:7976, ABCD3:8013, CYP7A1:8056, AGXT:8186, ABCA1:8306, PEX7:8353, HSD17B6:8455, ABCG4:8576, IDH2:8729, OPTN:8818, NR3C2:9006, PAOX:9021, IDI1:9174, APOA1:9401, PEX12:9471, HSD17B11:9637, CYP39A1:9761, SLC22A18:9858, SLC27A5:9948, PIPOX:9954, NR1I2:10198, ACSL5:10240, ALDH9A1:10260, AR:10381, LCK:10632, HSD3B7:10891, SLC23A2:11006, SLC35B2:11074, ABCD2:11243, PEX26:11489, ISOC1:11557, FDXR:11812, ALDH1A1:11826, EPHX2:11881, DHCR24:12235, TFCP2L1:12316, AKR1D1:12602, ABCA8:12762, PHYH:12852, HAO1:12971, SOD1:13105, PRDX5:13148, SOAT2:13812, ABCA6:13836, NR1H4:14608, FADS1:15193, SCP2:15197"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00755267834475759,0.830638706323444,0.922931895914938,68,"GPX8:847, MAL2:874, TP53INP1:1001, ADH4:1043, DHCR7:1081, ANXA13:1253, ATF3:1499, PDK3:1665, SQLE:1737, LDLR:2107, TNFRSF12A:2185, FADS2:2239, FABP5:2541, GLDC:2553, CLU:2912, SEMA3B:3180, NFIL3:3360, PPARG:3721, TM7SF2:3780, LSS:4221, ACSS2:4395, FDFT1:4835, HMGCR:5103, SCD:5149, ATF5:5159, ABCA2:5605, ALDOC:5721, HSD17B7:6081, SREBF2:6221, PLAUR:6443, ECH1:6861, GUSB:7261, ETHE1:7382, GNAI1:7441, AVPR1A:7660, PCYT2:8420, FBXO6:8509, CD9:8807, ACTG1:8826, CYP51A1:9093, IDI1:9174, TMEM97:9595, FDPS:9752, S100A11:9863, STX5:11155, CHKA:11495, ACAT2:11515, MVK:11575, HMGCS1:11642, ANTXR2:11759, NSDHL:12452, ATXN2:12482, MVD:12671, PNRC1:12676, CTNNB1:12694, PLSCR1:12824, EBP:13013, ERRFI1:13394, PMVK:13572, JAG1:13879, CPEB2:13930, SC5D:14112, ANXA5:14777, LGMN:15047, LGALS3:15588, TRIB3:15661, ALCAM:16070, STARD4:16104"
"HALLMARK_COAGULATION",0.00947502343645368,0.711805698776507,0.922711990909831,131,"ACOX2:48, C8A:57, F8:129, SH2B2:304, TIMP3:395, PF4:485, PLAT:520, GP9:572, HTRA1:617, S100A1:696, SERPINA1:747, F13B:896, THBS1:1025, MSRB2:1076, GNG12:1152, SPARC:1260, MMP8:1599, S100A13:1670, THBD:2049, SERPINC1:2477, CASP9:2517, PROS1:2552, PROZ:2669, MMP7:2894, CLU:2912, MBL2:3024, MMP9:3073, FBN1:3113, LTA4H:3212, MMP11:3254, CTSH:3530, DUSP6:3649, MEP1A:3698, FGA:3866, MST1:4320, LEFTY2:4410, CFI:4474, APOC1:4520, PLG:4609, VWF:4797, C1R:4876, MASP2:5010, DPP4:5361, C8B:6305, F3:6385, ISCU:6424, PREP:6628, HPN:6772, KLF7:6815, GNB2:6889, CTSK:6952, C1S:7056, RAPGEF3:7112, TIMP1:7152, USP11:7175, CTSE:7188, FYN:7426, PEF1:7436, ARF4:7443, CAPN2:7447, TFPI2:7484, SERPING1:7486, BMP1:7561, MMP15:7630, CTSV:7687, OLR1:7717, MMP2:8006, ANXA1:8075, SERPINB2:8324, GP1BA:8352, CTSB:8425, APOC3:8431, CD9:8807, C8G:8875, CTSO:8945, FURIN:8951, P2RY1:8967, CFH:9010, F9:9127, C3:9317, HMGCS2:9377, APOA1:9401, F11:9411, SERPINE1:9553, CAPN5:9976, F12:10310, DCT:10452, GDA:10480, TF:10497, ADAM9:10652, CRIP2:10837, TMPRSS6:10855, COMP:10936, ITGB3:11034, ANG:11144, GSN:11353, ITGA2:11426, FGG:11537, DUSP14:11638, LAMP2:11740, F2:11931, RGN:11971, MMP3:12349, CSRP1:12456, F2RL2:12581, PRSS23:12593, PECAM1:12597, SIRT2:12680, HNF4A:12687, PROC:12746, CPB2:12820, WDR1:13005, A2M:13171, PDGFB:13656, PLAU:13691, MMP14:13866, CPQ:14065, C9:14117, CFD:14146, KLKB1:14329, KLK8:14729, PLEK:14876, MMP10:14889, FN1:14980, HRG:15001, LGMN:15047, MMP1:15057, CPN1:15084, RABIF:15094, C1QA:15186, ITIH1:15311"
"HALLMARK_COMPLEMENT",-0.00729409292306615,0.74111469679332,0.922711990909831,179,"GPD2:133, KIF2A:294, ZFPM2:388, LGALS3:522, BRPF3:666, C1QC:772, ITIH1:799, PLA2G7:824, C1QA:924, RAF1:977, RABIF:1016, LGMN:1063, ADRA2B:1065, DGKH:1074, IRF7:1084, FN1:1130, CBLB:1141, PLEK:1234, ANXA5:1333, CTSS:1354, FCER1G:1508, KYNU:1560, CASP1:1585, KLKB1:1781, C9:1993, CPQ:2045, MMP14:2244, PDGFB:2454, PRSS3:2492, MSRB1:2608, CR2:2747, PFN1:2780, PIK3R5:3037, HSPA1A:3122, CD36:3155, GNGT2:3278, PLSCR1:3286, HNF4A:3423, PPP2CB:3588, CSRP1:3654, CDA:3703, EHD1:3879, GCA:3937, PPP4C:4170, F2:4179, CD46:4254, DGKG:4315, LAMP2:4370, PRDM4:4417, CASP10:4846, ANG:4966, PRCP:5166, TMPRSS6:5255, ADAM9:5458, LCK:5478, PIK3CA:5488, PIK3CG:5523, DOCK10:5527, GNAI3:5642, RASGRP1:5656, TIMP2:5888, PLA2G4A:5899, PDP1:6058, SIRT6:6309, SERPINE1:6557, IRF2:6581, USP8:6621, CD55:6767, C3:6793, HSPA5:6806, LCP2:6841, LTF:6891, S100A9:6955, GZMK:6964, KCNIP3:7011, CFH:7100, CTSO:7165, PRSS36:7203, PIM1:7368, GNB4:7375, IRF1:7479, PCLO:7576, CTSB:7685, GP1BA:7758, SERPINB2:7786, CASP5:7987, CP:8008, HPCAL4:8039, RCE1:8195, GZMB:8234, GNAI2:8273, OLR1:8393, SH2B3:8400, C4BPB:8403, CTSV:8423, WAS:8471, MMP15:8480, SERPING1:8624, TFPI2:8626, CA2:8657, FYN:8684, ITGAM:8725, F7:8756, GZMA:8824, GNG2:8868, CDK5R1:8874, TIMP1:8958, FDX1:8974, S100A12:8987, C1S:9054, GNB2:9221, PCSK9:9357, PREP:9482, PSEN1:9496, GRB2:9534, ME1:9573, IL6:9656, PLAUR:9667, F3:9725, CASP4:10203, MMP13:10297, JAK2:10301, PRKCD:10344, DYRK2:10390, USP15:10457, KCNIP2:10586, DPP4:10749, C1R:11234, GATA3:11238, STX4:11304, XPNPEP1:11492, PLG:11501, APOC1:11590, KLK1:12057, CTSL:12172, RNF4:12313, F5:12390, SRC:12423, ERAP2:12452, DUSP6:12461, CEBPB:12531, VCPIP1:12578, CTSH:12580, USP16:12594, NOTCH4:12632, APOA4:12664, USP14:12721, PSMB9:12797, LTA4H:12898, MMP12:13154, CLU:13198, CD59:13203, CASP3:13521, CASP9:13593, CD40LG:13603, SERPINC1:13633, TNFAIP3:13734, APOBEC3F:13858, LIPA:14066, CASP7:14310, RBSN:14325, S100A13:14440, LAP3:14486, MMP8:14511, CTSC:14580, ZEB1:14775, SCG3:15007, DUSP5:15062, L3MBTL4:15088, SERPINA1:15363, ACTN2:15375, DOCK4:15449, GP9:15538, PLAT:15590, SPOCK2:15717, ATOX1:15824, F8:15981, LYN:16013, AKAP10:16055"
